Generation,Diet,Line,vial_name,vial_mean,choosen
4,hsd_selection,6,v6a,236.77,selected_vial
4,hsd_selection,7,v7c,237.86,selected_vial
4,hsd_selection,8,v8c,232.55,selected_vial
4,hsd_selection,9,v9a,235.8,selected_vial
4,hsd_selection,10,v10b,232.59,selected_vial
4,hsd_noselection,1,v1c,0,selected_vial
4,hsd_noselection,2,v2a,277,selected_vial
4,hsd_noselection,3,v3a,278,selected_vial
4,hsd_noselection,4,v4c,277.5,selected_vial
4,hsd_noselection,5,v5c,0,selected_vial
4,hsd_noselection,6,v6b,275,selected_vial
4,hsd_noselection,7,v7b,274.41,selected_vial
4,hsd_noselection,8,v8a,274.5,selected_vial
4,hsd_noselection,9,v9a,276.87,selected_vial
4,hsd_noselection,10,v10a,277.57,selected_vial
4,nsd_selection,1,v1b,237.8,selected_vial
4,nsd_selection,2,v2b,233.5,selected_vial
4,nsd_selection,3,v3b,233.11,selected_vial
4,nsd_selection,4,v4b,239.43,selected_vial
4,nsd_selection,5,v5c,236.67,selected_vial
4,nsd_selection,6,v6a,239,selected_vial
4,nsd_selection,7,v7a,235.67,selected_vial
4,nsd_selection,8,v8b,232.83,selected_vial
4,nsd_selection,9,v9b,232.14,selected_vial
4,nsd_selection,10,v10b,246.63,selected_vial
4,nsd_noselection,1,v1b,231.56,selected_vial
4,nsd_noselection,2,v2a,227.71,selected_vial
4,nsd_noselection,3,v3c,235.44,selected_vial
4,nsd_noselection,4,v4a,234.47,selected_vial
4,nsd_noselection,5,v5c,235.75,selected_vial
4,nsd_noselection,6,v6b,230.33,selected_vial
4,nsd_noselection,7,v7c,235.87,selected_vial
4,nsd_noselection,8,v8c,229.7,selected_vial
4,nsd_noselection,9,v9c,229.81,selected_vial
4,nsd_noselection,10,v10a,234.06,selected_vial
5,hsd_selection,1,v1b,275.67,selected_vial
5,hsd_selection,2,v2c,276.75,selected_vial
5,hsd_selection,3,v3a,275.43,selected_vial
5,hsd_selection,4,v4a,275.58,selected_vial
5,hsd_selection,5,v5c,277.59,selected_vial
5,hsd_selection,6,v6a,281.35,selected_vial
5,hsd_selection,7,v7a,263.3,selected_vial
5,hsd_selection,8,v8c,276.57,selected_vial
5,hsd_selection,9,v9a,285.65,selected_vial
5,hsd_selection,10,v10c,280.33,selected_vial
5,hsd_noselection,1,v1a,278.71,selected_vial
5,hsd_noselection,2,v2b,277.66,selected_vial
5,hsd_noselection,3,v3b,280.27,selected_vial
5,hsd_noselection,4,v4a,285,selected_vial
5,hsd_noselection,5,v5a,283.36,selected_vial
5,hsd_noselection,6,v6b,281,selected_vial
5,hsd_noselection,7,v7b,294.8,selected_vial
5,hsd_noselection,8,v8a,274.88,selected_vial
5,hsd_noselection,9,v9c,293.08,selected_vial
5,hsd_noselection,10,v10c,271.27,selected_vial
5,nsd_selection,1,v1b,233.24,selected_vial
5,nsd_selection,2,v2a,234.39,selected_vial
5,nsd_selection,3,v3a,227.86,selected_vial
5,nsd_selection,4,v4a,232.78,selected_vial
5,nsd_selection,5,v5a,234.8,selected_vial
5,nsd_selection,6,v6c,231.96,selected_vial
5,nsd_selection,7,v7a,232.42,selected_vial
5,nsd_selection,8,v8c,239.13,selected_vial
5,nsd_selection,9,v9a,235.37,selected_vial
5,nsd_selection,10,v10a,236.06,selected_vial
5,nsd_noselection,1,v1b,240.9,selected_vial
5,nsd_noselection,2,v2a,231.23,selected_vial
5,nsd_noselection,3,v3c,239.66,selected_vial
5,nsd_noselection,4,v4b,238.84,selected_vial
5,nsd_noselection,5,v5c,241.57,selected_vial
5,nsd_noselection,6,v6b,245.91,selected_vial
5,nsd_noselection,7,v7c,236.89,selected_vial
5,nsd_noselection,8,v8c,246.9,selected_vial
5,nsd_noselection,9,v9c,236.44,selected_vial
5,nsd_noselection,10,v10b,239.94,selected_vial
